Time,A,Angry,Blink,Blink_L,Blink_R,E,Fun,I,Joy,LookDown,LookLeft,LookRight,LookUp,Neutral,O,Sorrow,Surprised,U
0.0684638,1.157222E-22,0,0,0,0,7.557083E-23,0,0,0,0,0,0,0,1,9.497667E-24,0,0,1.48365E-27
0.1716166,6.854923E-23,0,0,0,0,4.476516E-23,0,0,0,0,0,0,0,1,5.626041E-24,0,0,8.788551E-28
0.2905035,3.062013E-23,0,0,0,0,1.999607E-23,0,0,0,0,0,0,0,1,2.513086E-24,0,0,3.925742E-28
0.4023356,0.02805866,0,0,0,0,0.01879281,0,0,0,0,0,0,0,1,1.258394E-24,0,0,1.965762E-28
0.5189533,0.215424,0,0,0,0,0.1239801,0,0,0,0,0,0,0,1,5.123268E-25,0,0,8.003159E-29
0.6318321,0.3701447,0,0,0,0,0.1751875,0,0,0,0,0,0,0,1,1.809186E-25,0,0,2.826166E-29
0.7460871,0.4849686,0,0,0,0,0.1191483,0,0.0006250709,0,0,0,0,0,1,0.395258,0,0,6.34361E-14
0.8573871,0.2509589,0,0,0,0,0.05777818,0,0.5755385,0,0,0,0,0,1,0.07807146,0,0,1.252991E-14
0.9718595,0.08877575,0,0,0,0,0.02043881,0,0.1393182,0,0,0,0,0,1,0.7514672,0,0,2.158123E-15
1.083741,0.007319486,0,0,0,0,4.337549E-11,0,0.02562211,0,0,0,0,0,1,0.9601421,0,0,3.969019E-16
1.193368,0.001302711,0,0.6905939,0,0,7.719905E-12,0,0.004560185,0,0,0,0,0,1,0.9928239,0,0,7.064002E-17
1.30527,0.7627746,0,0.5834113,0,0,1.373977E-12,0,0.0008116149,0,0,0,0,0,1,0.2360216,0,0,1.257241E-17
1.414454,0.5389809,0,0,0,0,3.260513E-13,0,0.4048801,0,0,0,0,0,1,0.05600903,0,0,2.983491E-18
1.524473,0.6486959,0,0,0,0,5.803011E-14,0,0.341225,0,0,0,0,0,1,0.009968404,0,0,5.309973E-19
1.635614,0.6934633,0,0,0,0,1.032811E-14,0,0.2558479,0,0,0,0,0,1,0.001774161,0,0,9.450612E-20
1.747933,0.9452786,0,0,0,0,1.838182E-15,0,0.04553543,0,0,0,0,0,1,0.0003157626,0,0,1.682006E-20
1.865394,0.345375,0,0,0,0,0.008559429,0,0.2387565,0,0,0,0,0,1,4.214923E-05,0,0,2.245207E-21
1.979298,0.1373302,0,0,0,0,5.822691E-17,0,0.1858572,0,0,0,0,0,1,1.000221E-05,0,0,5.327982E-22
2.087984,0.02444183,0,0,0,0,0.00381545,0,0.0330786,0,0,0,0,0,1,1.780178E-06,0,0,0.4372813
2.199514,0.008799147,0,0,0,0,0.002025824,0,0.007849706,0,0,0,0,0,1,4.224446E-07,0,0,0.8660828
2.313599,0.00315932,0,0,0,0,0.0007273688,0,0.001397079,0,0,0,0,0,1,7.518607E-08,0,0,0.9757546
2.429878,0.1369025,0,0,0,0,7.789918E-20,0,0.4787643,0,0,0,0,0,1,1.33815E-08,0,0,0.3120219
2.5423,0.2112309,0,0,0,0,0.0002764319,0,0.1267381,0,0,0,0,0,1,0.175,0,0,0.0555332
2.661326,0.1709938,0,0,0,0,0.0001543575,0,0.1606675,0,0,0,0,0,1,0.09740753,0,0,0.007412789
2.768368,0.4219253,0,0,0,0,8.008476E-05,0,0.1906662,0,0,0,0,0,1,0.02311526,0,0,0.00175909
2.889258,0.1477814,0,0,0,0,3.169086E-05,0,0.6089104,0,0,0,0,0,1,0.003085515,0,0,0.0002348101
2.997217,0.03506922,0,0,0,0,1.39114E-23,0,0.7546536,0,0,0,0,0,1,0.0007322073,0,0,5.572153E-05
3.112309,0.1312416,0,0.1775357,0,0,2.47593E-24,0,0.6419293,0,0,0,0,0,1,0.0001303172,0,0,9.917236E-06
3.227061,0.4343689,0,0.4863537,0,0,4.406623E-25,0,0.2786539,0,0,0,0,0,1,2.319366E-05,0,0,1.765055E-06
3.342799,0.4883191,0,0,0,0,7.842843E-26,0,0.2139987,0,0,0,0,0,1,4.127973E-06,0,0,3.141419E-07
3.450809,0.1158804,0,0,0,0,1.861144E-26,0,0.1757829,0,0,0,0,0,1,0.07500098,0,0,0.512439
